Connected, dumping recent logs for app cf-js-example-post in org jashuntest-org / space development as jashunwan01@gmail.com...

2017-01-07T12:56:40.58+0800 [API/5]      OUT Created app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb
2017-01-07T12:56:45.53+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"route"=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261", :verb=>"add", :relation=>"routes", :related_guid=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261"})
2017-01-07T12:57:10.76+0800 [API/0]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STARTED"})
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading binary_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading go_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading php_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading nodejs_buildpack...
2017-01-07T12:57:11.07+0800 [STG/0]      OUT Downloading dotnet_core_buildpack...
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloading dotnet_core_buildpack_beta...
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloaded nodejs_buildpack
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloading python_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded binary_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading java_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded go_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading staticfile_buildpack...
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack_beta
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloading ruby_buildpack...
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded java_buildpack
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded python_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded staticfile_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded ruby_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Downloaded php_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Creating container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Successfully created container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Downloading app package...
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Downloaded app package (1.6M)
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Staging...
2017-01-07T12:57:14.73+0800 [STG/0]      OUT -------> Buildpack version 1.5.25
2017-01-07T12:57:14.78+0800 [STG/0]      OUT -----> Creating runtime environment
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        
2017-01-07T13:43:20.74+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STOPPED"})
2017-01-07T13:43:23.69+0800 [API/7]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STARTED"})
2017-01-07T13:43:24.06+0800 [STG/0]      OUT Downloading binary_buildpack...
2017-01-07T13:43:24.06+0800 [STG/0]      OUT Downloading ruby_buildpack...
2017-01-07T13:43:24.06+0800 [STG/0]      OUT Downloading java_buildpack...
2017-01-07T13:43:24.06+0800 [STG/0]      OUT Downloading nodejs_buildpack...
2017-01-07T13:43:24.06+0800 [STG/0]      OUT Downloading staticfile_buildpack...
2017-01-07T13:43:24.12+0800 [STG/0]      OUT Downloaded ruby_buildpack
2017-01-07T13:43:24.12+0800 [STG/0]      OUT Downloading php_buildpack...
2017-01-07T13:43:24.12+0800 [STG/0]      OUT Downloaded nodejs_buildpack
2017-01-07T13:43:24.12+0800 [STG/0]      OUT Downloading go_buildpack...
2017-01-07T13:43:24.13+0800 [STG/0]      OUT Downloaded staticfile_buildpack
2017-01-07T13:43:24.13+0800 [STG/0]      OUT Downloading python_buildpack...
2017-01-07T13:43:24.15+0800 [STG/0]      OUT Downloaded java_buildpack
2017-01-07T13:43:24.15+0800 [STG/0]      OUT Downloading dotnet_core_buildpack...
2017-01-07T13:43:24.17+0800 [STG/0]      OUT Downloaded go_buildpack
2017-01-07T13:43:24.17+0800 [STG/0]      OUT Downloading dotnet_core_buildpack_beta...
2017-01-07T13:43:24.17+0800 [STG/0]      OUT Downloaded python_buildpack
2017-01-07T13:43:24.20+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack_beta
2017-01-07T13:43:24.20+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack
2017-01-07T13:43:24.30+0800 [STG/0]      OUT Downloaded php_buildpack
2017-01-07T13:43:24.32+0800 [STG/0]      OUT Downloaded binary_buildpack
2017-01-07T13:43:24.32+0800 [STG/0]      OUT Creating container
2017-01-07T13:43:25.27+0800 [STG/0]      OUT Successfully created container
2017-01-07T13:43:25.27+0800 [STG/0]      OUT Downloading app package...
2017-01-07T13:43:25.87+0800 [STG/0]      OUT Downloaded app package (3.8M)
2017-01-07T13:43:25.87+0800 [STG/0]      OUT Downloading build artifacts cache...
2017-01-07T13:43:27.05+0800 [STG/0]      OUT Downloaded build artifacts cache (1.3M)
2017-01-07T13:43:27.05+0800 [STG/0]      OUT Staging...
2017-01-07T13:43:27.70+0800 [STG/0]      OUT -------> Buildpack version 1.5.25
2017-01-07T13:43:27.74+0800 [STG/0]      OUT -----> Creating runtime environment
2017-01-07T13:43:27.75+0800 [STG/0]      OUT        
2017-01-07T13:43:27.75+0800 [STG/0]      OUT        NPM_CONFIG_LOGLEVEL=error
2017-01-07T13:43:27.75+0800 [STG/0]      OUT        NPM_CONFIG_PRODUCTION=true
2017-01-07T13:43:27.75+0800 [STG/0]      OUT        NODE_ENV=production
2017-01-07T13:43:27.75+0800 [STG/0]      OUT        NODE_MODULES_CACHE=true
2017-01-07T13:43:27.75+0800 [STG/0]      OUT -----> Installing binaries
2017-01-07T13:43:27.76+0800 [STG/0]      OUT        engines.node (package.json):  unspecified
2017-01-07T13:43:27.76+0800 [STG/0]      OUT        engines.npm (package.json):   unspecified (use default)
2017-01-07T13:43:27.76+0800 [STG/0]      OUT        
2017-01-07T13:43:28.00+0800 [STG/0]      OUT        Downloading and installing node 4.7.0...
2017-01-07T13:43:28.19+0800 [STG/0]      OUT        Downloaded [file:///tmp/buildpacks/742abd67de437dc719a2c666ed6e3df7/dependencies/https___buildpacks.cloudfoundry.org_dependencies_node_node-4.7.0-linux-x64.tgz]
2017-01-07T13:43:28.83+0800 [STG/0]      OUT        Using default npm version: 2.15.11
2017-01-07T13:43:28.83+0800 [STG/0]      OUT -----> Restoring cache
2017-01-07T13:43:29.10+0800 [STG/0]      OUT        Loading 2 from cacheDirectories (default):
2017-01-07T13:43:29.10+0800 [STG/0]      OUT        - node_modules (exists - skipping)
2017-01-07T13:43:29.10+0800 [STG/0]      OUT        - bower_components (not cached - skipping)
2017-01-07T13:43:29.10+0800 [STG/0]      OUT -----> Building dependencies
2017-01-07T13:43:29.10+0800 [STG/0]      OUT        Prebuild detected (node_modules already exists)
2017-01-07T13:43:29.10+0800 [STG/0]      OUT        Rebuilding any native modules
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        cfenv@1.0.3 /tmp/app/node_modules/cfenv
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        js-yaml@3.4.6 /tmp/app/node_modules/js-yaml
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        argparse@1.0.9 /tmp/app/node_modules/argparse
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        sprintf-js@1.0.3 /tmp/app/node_modules/sprintf-js
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        esprima@2.7.3 /tmp/app/node_modules/esprima
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        inherit@2.2.6 /tmp/app/node_modules/inherit
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        ports@1.1.0 /tmp/app/node_modules/ports
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        underscore@1.8.3 /tmp/app/node_modules/underscore
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        express@3.2.6 /tmp/app/node_modules/express
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        buffer-crc32@0.2.1 /tmp/app/node_modules/buffer-crc32
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        commander@0.6.1 /tmp/app/node_modules/commander
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        connect@2.7.11 /tmp/app/node_modules/connect
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        bytes@0.2.0 /tmp/app/node_modules/bytes
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        cookie@0.0.5 /tmp/app/node_modules/connect/node_modules/cookie
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        cookie-signature@1.0.1 /tmp/app/node_modules/cookie-signature
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        debug@2.6.0 /tmp/app/node_modules/debug
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        ms@0.7.2 /tmp/app/node_modules/ms
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        formidable@1.0.14 /tmp/app/node_modules/formidable
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        fresh@0.1.0 /tmp/app/node_modules/fresh
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        pause@0.0.1 /tmp/app/node_modules/pause
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        qs@0.6.5 /tmp/app/node_modules/qs
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        send@0.1.1 /tmp/app/node_modules/connect/node_modules/send
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mime@1.2.11 /tmp/app/node_modules/mime
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        range-parser@0.0.4 /tmp/app/node_modules/range-parser
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        cookie@0.1.0 /tmp/app/node_modules/cookie
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        methods@0.0.1 /tmp/app/node_modules/methods
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mkdirp@0.3.4 /tmp/app/node_modules/mkdirp
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        send@0.1.0 /tmp/app/node_modules/send
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mime@1.2.6 /tmp/app/node_modules/send/node_modules/mime
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        jade@1.11.0 /tmp/app/node_modules/jade
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        character-parser@1.2.1 /tmp/app/node_modules/character-parser
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        clean-css@3.4.23 /tmp/app/node_modules/clean-css
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        commander@2.8.1 /tmp/app/node_modules/clean-css/node_modules/commander
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        graceful-readlink@1.0.1 /tmp/app/node_modules/graceful-readlink
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        source-map@0.4.4 /tmp/app/node_modules/source-map
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        amdefine@1.0.1 /tmp/app/node_modules/amdefine
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        commander@2.6.0 /tmp/app/node_modules/jade/node_modules/commander
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        constantinople@3.0.2 /tmp/app/node_modules/constantinople
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        acorn@2.7.0 /tmp/app/node_modules/acorn
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        jstransformer@0.0.2 /tmp/app/node_modules/jstransformer
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        is-promise@2.1.0 /tmp/app/node_modules/is-promise
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        promise@6.1.0 /tmp/app/node_modules/promise
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        asap@1.0.0 /tmp/app/node_modules/asap
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mkdirp@0.5.1 /tmp/app/node_modules/jade/node_modules/mkdirp
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        minimist@0.0.8 /tmp/app/node_modules/minimist
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        transformers@2.1.0 /tmp/app/node_modules/transformers
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        css@1.0.8 /tmp/app/node_modules/css
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        css-parse@1.0.4 /tmp/app/node_modules/css-parse
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        css-stringify@1.0.5 /tmp/app/node_modules/css-stringify
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        promise@2.0.0 /tmp/app/node_modules/transformers/node_modules/promise
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        is-promise@1.0.1 /tmp/app/node_modules/transformers/node_modules/is-promise
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        uglify-js@2.2.5 /tmp/app/node_modules/transformers/node_modules/uglify-js
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        optimist@0.3.7 /tmp/app/node_modules/optimist
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        wordwrap@0.0.3 /tmp/app/node_modules/wordwrap
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        source-map@0.1.43 /tmp/app/node_modules/transformers/node_modules/source-map
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        uglify-js@2.7.5 /tmp/app/node_modules/uglify-js
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        async@0.2.10 /tmp/app/node_modules/async
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        source-map@0.5.6 /tmp/app/node_modules/uglify-js/node_modules/source-map
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        uglify-to-browserify@1.0.2 /tmp/app/node_modules/uglify-to-browserify
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        yargs@3.10.0 /tmp/app/node_modules/yargs
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        camelcase@1.2.1 /tmp/app/node_modules/camelcase
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        cliui@2.1.0 /tmp/app/node_modules/cliui
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        center-align@0.1.3 /tmp/app/node_modules/center-align
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        align-text@0.1.4 /tmp/app/node_modules/align-text
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        kind-of@3.1.0 /tmp/app/node_modules/kind-of
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        is-buffer@1.1.4 /tmp/app/node_modules/is-buffer
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        longest@1.0.1 /tmp/app/node_modules/longest
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        repeat-string@1.6.1 /tmp/app/node_modules/repeat-string
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        lazy-cache@1.0.4 /tmp/app/node_modules/lazy-cache
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        right-align@0.1.3 /tmp/app/node_modules/right-align
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        wordwrap@0.0.2 /tmp/app/node_modules/cliui/node_modules/wordwrap
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        decamelize@1.2.0 /tmp/app/node_modules/decamelize
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        window-size@0.1.0 /tmp/app/node_modules/window-size
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        void-elements@2.0.1 /tmp/app/node_modules/void-elements
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        with@4.0.3 /tmp/app/node_modules/with
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        acorn@1.2.2 /tmp/app/node_modules/with/node_modules/acorn
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        acorn-globals@1.0.9 /tmp/app/node_modules/acorn-globals
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mongoose@4.7.6 /tmp/app/node_modules/mongoose
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        async@2.1.4 /tmp/app/node_modules/mongoose/node_modules/async
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        lodash@4.17.4 /tmp/app/node_modules/lodash
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        bson@1.0.3 /tmp/app/node_modules/bson
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        hooks-fixed@1.2.0 /tmp/app/node_modules/hooks-fixed
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        kareem@1.2.0 /tmp/app/node_modules/kareem
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        mongodb@2.2.16 /tmp/app/node_modules/mongodb
2017-01-07T13:43:31.02+0800 [STG/0]      OUT        es6-promise@3.2.1 /tmp/app/node_modules/es6-promise
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        mongodb-core@2.1.2 /tmp/app/node_modules/mongodb-core
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        require_optional@1.0.0 /tmp/app/node_modules/require_optional
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        resolve-from@2.0.0 /tmp/app/node_modules/resolve-from
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        semver@5.3.0 /tmp/app/node_modules/semver
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        readable-stream@2.1.5 /tmp/app/node_modules/readable-stream
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        buffer-shims@1.0.0 /tmp/app/node_modules/buffer-shims
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        core-util-is@1.0.2 /tmp/app/node_modules/core-util-is
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        inherits@2.0.3 /tmp/app/node_modules/inherits
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        isarray@1.0.0 /tmp/app/node_modules/isarray
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        process-nextick-args@1.0.7 /tmp/app/node_modules/process-nextick-args
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        string_decoder@0.10.31 /tmp/app/node_modules/string_decoder
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        util-deprecate@1.0.2 /tmp/app/node_modules/util-deprecate
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        mpath@0.2.1 /tmp/app/node_modules/mpath
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        mpromise@0.5.5 /tmp/app/node_modules/mpromise
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        mquery@2.0.0 /tmp/app/node_modules/mquery
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        bluebird@2.10.2 /tmp/app/node_modules/bluebird
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        debug@2.2.0 /tmp/app/node_modules/mquery/node_modules/debug
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        ms@0.7.1 /tmp/app/node_modules/mquery/node_modules/ms
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        regexp-clone@0.0.1 /tmp/app/node_modules/regexp-clone
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        sliced@0.0.5 /tmp/app/node_modules/mquery/node_modules/sliced
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        muri@1.1.1 /tmp/app/node_modules/muri
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        sliced@1.0.1 /tmp/app/node_modules/sliced
2017-01-07T13:43:31.03+0800 [STG/0]      OUT        Installing any new modules (package.json)
2017-01-07T13:43:31.75+0800 [CELL/0]     OUT Destroying container
2017-01-07T13:43:32.88+0800 [STG/0]      OUT -----> Caching build
2017-01-07T13:43:32.89+0800 [STG/0]      OUT        Clearing previous node cache
2017-01-07T13:43:32.92+0800 [CELL/0]     OUT Successfully destroyed container
2017-01-07T13:43:32.94+0800 [STG/0]      OUT        Saving 2 cacheDirectories (default):
2017-01-07T13:43:32.94+0800 [STG/0]      OUT        - node_modules
2017-01-07T13:43:33.36+0800 [STG/0]      OUT        - bower_components (nothing to cache)
2017-01-07T13:43:33.58+0800 [STG/0]      OUT -----> Build succeeded!
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── acorn@2.7.0
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── acorn-globals@1.0.9
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── align-text@0.1.4
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── amdefine@1.0.1
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── argparse@1.0.9
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── asap@1.0.0
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── async@0.2.10
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── bluebird@2.10.2
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── bson@1.0.3
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── buffer-crc32@0.2.1
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── buffer-shims@1.0.0
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── bytes@0.2.0
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── camelcase@1.2.1
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── center-align@0.1.3
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── cfenv@1.0.3
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── character-parser@1.2.1
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── clean-css@3.4.23
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── cliui@2.1.0
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── commander@0.6.1
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── connect@2.7.11
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── constantinople@3.0.2
2017-01-07T13:43:34.38+0800 [STG/0]      OUT        ├── cookie@0.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── cookie-signature@1.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── core-util-is@1.0.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── css@1.0.8
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── css-parse@1.0.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── css-stringify@1.0.5
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── debug@2.6.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── decamelize@1.2.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── es6-promise@3.2.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── esprima@2.7.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── express@3.2.6
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── formidable@1.0.14
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── fresh@0.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── graceful-readlink@1.0.1 extraneous
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── hooks-fixed@1.2.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── inherit@2.2.6
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── inherits@2.0.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── is-buffer@1.1.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── is-promise@2.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── isarray@1.0.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── jade@1.11.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── js-yaml@3.4.6
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── jstransformer@0.0.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── kareem@1.2.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── kind-of@3.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── lazy-cache@1.0.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── lodash@4.17.4 extraneous
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── longest@1.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── methods@0.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mime@1.2.11
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── minimist@0.0.8 extraneous
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mkdirp@0.3.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mongodb@2.2.16
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mongodb-core@2.1.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mongoose@4.7.6
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mpath@0.2.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mpromise@0.5.5
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── mquery@2.0.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── ms@0.7.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── muri@1.1.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── optimist@0.3.7 extraneous
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── pause@0.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── ports@1.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── process-nextick-args@1.0.7
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── promise@6.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── qs@0.6.5
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── range-parser@0.0.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── readable-stream@2.1.5
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── regexp-clone@0.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── repeat-string@1.6.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── require_optional@1.0.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── resolve-from@2.0.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── right-align@0.1.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── semver@5.3.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── send@0.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── sliced@1.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── source-map@0.4.4
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── sprintf-js@1.0.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── string_decoder@0.10.31
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── transformers@2.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── uglify-js@2.7.5
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── uglify-to-browserify@1.0.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── underscore@1.8.3
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── util-deprecate@1.0.2
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── void-elements@2.0.1
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── window-size@0.1.0
2017-01-07T13:43:34.39+0800 [STG/0]      OUT        ├── with@4.0.3
